lake_comid,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea
717662,0.427481758,10397.25916,1.087832519,0.427481758,4,24322.1100542
717674,1.812206623,519726.5088,4.635239644,1.812206623,4,286792.082192
717676,0.410088934,10459.08167,0.908194596,0.410088934,4,25504.4205269
717686,2.295749139,170450.1416,5.36525933,2.295749139,4,74245.9831235
717688,0.391728847,12076.46787,0.893229736,0.391728847,4,30828.6376854
717690,0.296609607,13289.82604,0.506583547,0.296609607,4,44805.7749105
717696,6.659498074,67532904.97,25.81437629,6.659498074,4,10140839.8126
717702,0.68568124,33403.53499,1.285851632,0.68568124,4,48715.8402112
717704,5.01162899,2309228.005,10.7152562,5.01162899,4,460773.986053
717706,0.473997951,13250.85336,1.032722489,0.473997951,4,27955.5188587
717710,1.151164719,20097.13647,2.542364346,1.151164719,4,17458.0851793
717716,0.129539084,2197.095782,0.254514448,0.129539084,4,16960.872582
717720,1.01576852,29569.72693,2.222575921,1.01576852,4,29110.6874294
717726,1.547802046,170571.2146,3.350806671,1.547802046,4,110202.218795
717732,1.023708211,41341.79112,2.414672369,1.023708211,4,40384.3573361
717736,0.261010962,4528.366069,0.575980431,0.261010962,4,17349.3210626
717738,0.592543047,7357.216659,1.358429476,0.592543047,4,12416.3405295
717750,0.281874051,13718.39206,0.691218094,0.281874051,4,48668.518098
717760,1.934159276,374842.1379,4.050542216,1.934159276,4,193801.128763
717772,3.66093996,1720131.542,8.215013783,3.66093996,4,469860.598608
717776,2.473353586,1400702.206,6.42191822,2.473353586,4,566316.996763
717794,5.108011178,14972325.09,12.91510181,5.108011178,4,2931145.57623
717802,2.582702771,4236805.048,6.602976949,2.582702771,4,1640454.09825
717804,5.129433545,13117476.42,17.62396784,5.129433545,4,2557295.47872
717818,0.170728274,7452.217971,0.409649709,0.170728274,4,43649.5803534
717824,9.982757985,24267308.85,32.68934527,9.982757985,4,2430922.23401
717832,3.858616236,6507530.338,11.63107402,3.858616236,4,1686493.18436
717838,0.248627297,5794.15064,0.555490442,0.248627297,4,23304.550407
717846,1.812271968,292853.4458,4.046180519,1.812271968,4,161594.631453
717858,1.830107734,163953.2317,4.331976378,1.830107734,4,89586.6372193
719486,0.743435692,114099.8255,1.929628052,0.743435692,4,153476.379509
719490,7.570023073,29323229.56,20.35648416,7.570023073,4,3873598.62772
719494,0.800033287,32026.44213,1.415689295,0.800033287,4,40031.395381
719502,3.482200872,1252338.374,8.505743712,3.482200872,4,359639.939326
719504,0.617855427,79194.62782,1.476016582,0.617855427,4,128176.664695
719506,0.832339536,164923.7904,1.839687873,0.832339536,4,198144.836297
719520,1.194667499,449210.706,3.112434632,1.194667499,4,376013.204146
719524,4.018017014,4177600.208,10.71487142,4.018017014,4,1039716.87578
719526,0.593297662,61851.09599,1.468640137,0.593297662,4,104249.685347
719528,0.806287765,116024.763,1.695831844,0.806287765,4,143899.927115
719538,5.152884398,11199560.66,14.09697776,5.152884398,4,2173454.7223
719544,1.147461092,647187.4869,3.081334772,1.147461092,4,564016.922241
719548,0.218662278,35254.93469,0.506282152,0.218662278,4,161230.080662
719568,0.230884216,35089.45664,0.46537856,0.230884216,4,151978.582263
719572,0.197900525,17898.95162,0.345548496,0.197900525,4,90444.1530074
719574,1.127342621,1176805.093,3.37441466,1.127342621,4,1043875.26369
719576,0.786094127,89689.28202,1.797569121,0.786094127,4,114094.888498
719608,0.683087351,546951.7845,2.251936114,0.683087351,4,800705.467023
719644,8.720930357,32881697.81,25.6313588,8.720930357,4,3770434.65542
719656,0.699028444,144083.3695,1.800901405,0.699028444,4,206119.477414
808017,1.573606146,157457.0367,3.05767355,1.573606146,4,100061.272237
808021,1.224744181,102567.2691,3.188257628,1.224744181,4,83745.8665511
808035,3.712199771,831603.9155,7.657611688,3.712199771,4,224019.174651
808047,3.215567226,1664671.433,7.539133641,3.215567226,4,517691.245418
808049,2.90176032,578851.3535,6.976696491,2.90176032,4,199482.805159
808053,2.437739884,135490.253,5.515772371,2.437739884,4,55580.2751909
808055,3.076627711,248687.8781,5.053792895,3.076627711,4,80831.323566
808075,1.519421438,216876.6777,3.850568137,1.519421438,4,142736.355864
723896,0.242719585,4109.522419,0.556390719,0.242719585,4,16931.1530511
723898,9.073741116,242920240,27.97981319,9.073741116,4,26771783.8613
723900,0.681895054,271229.6793,1.723797444,0.681895054,4,397758.763011
723906,1.077448708,94875.31953,2.219027988,1.077448708,4,88055.5375949
723916,3.027240243,537038.1571,6.773320655,3.027240243,4,177401.883008
723928,0.298889942,22503.75453,0.730764461,0.298889942,4,75291.1053012
723932,2.708317635,269710.1261,5.274840794,2.708317635,4,99585.8664935
723936,2.097410859,8509368.929,5.272766987,2.097410859,4,4057082.40948
723946,0.291036447,4708.264851,0.64529534,0.291036447,4,16177.5830735
723948,1.467958768,63092.01225,3.447338929,1.467958768,4,42979.4089218
723950,0.848662977,6882.185603,1.841284199,0.848662977,4,8109.44169024
723952,0.716965221,243749.5414,1.637604476,0.716965221,4,339973.974963
723958,0.696117182,6278.769088,1.488080279,0.696117182,4,9019.69820949
723960,0.124803791,5343.912454,0.199492637,0.124803791,4,42818.5164833
723962,0.319870541,13769.15528,0.62823165,0.319870541,4,43046.0102415
723964,0.121571248,1605.192232,0.26380274,0.121571248,4,13203.714362
723966,3.441375658,467897.455,8.00597522,3.441375658,4,135962.345893
723968,0.479469343,8036.450138,1.150573924,0.479469343,4,16761.1367469
723970,0.781616344,49886.8561,1.959502137,0.781616344,4,63825.2520561
723974,5.368882169,2810575.903,13.30939518,5.368882169,4,523493.683591
723978,1.29299379,55325.27459,3.127322616,1.29299379,4,42788.5100917
723988,0.715133622,31714.57908,1.203286378,0.715133622,4,44347.7623114
723998,0.329350799,20531.07085,0.908377805,0.329350799,4,62337.9918921
724000,1.822104712,679311.7827,4.46439745,1.822104712,4,372816.926251
724006,0.315652491,47468.1945,0.796313769,0.315652491,4,150381.157739
724022,0.847802373,16609.35332,2.051728476,0.847802373,4,19591.0642254
724052,0.365762742,9388.889288,0.860011568,0.365762742,4,25669.3114227
724056,0.471021261,13769.59067,1.145765282,0.471021261,4,29233.4798647
724058,0.122594484,2105.045378,0.23483606,0.122594484,4,17170.790254
724428,1.573920661,707369.659,3.150806897,1.573920661,4,449431.619827
802733,0.539872673,5043.235474,1.198768474,0.539872673,4,9341.52851911
802737,0.610865921,5110.436737,1.497167,0.610865921,4,8365.89122733
802741,0.813176893,37509.47866,2.018132307,0.813176893,4,46127.0879356
802755,1.216697733,33790.77552,3.07731859,1.216697733,4,27772.5315883
802757,0.555742161,17678.36096,1.216896764,0.555742161,4,31810.3595502
802759,0.244307492,6348.533001,0.571455202,0.244307492,4,25985.8394266
802761,0.440995382,12413.78663,1.102884904,0.440995382,4,28149.4619964
802763,0.662868252,11496.13757,1.472259499,0.662868252,4,17343.0227821
802765,0.391343479,4829.517881,0.890959834,0.391343479,4,12340.8665989
724958,16.44109819,11088440.06,42.56772676,16.44109819,4,674434.309732
724962,2.049968462,60200.69876,4.90894034,2.049968462,4,29366.6407954
724968,10.369986279999999,11776724.82,27.91003755,10.369986279999999,4,1135654.91878
724970,4.544771271,961058.1083,11.29606779,4.544771271,4,211464.559539
724978,2.661215482,331447.2051,6.085339128,2.661215482,4,124547.292955
724980,3.70813277,131855.0551,8.384809853,3.70813277,4,35558.3452741
724982,1.383909373,60863.70438,3.054761584,1.383909373,4,43979.5338623
724986,3.954862049,264612.9589,8.229908322,3.954862049,4,66908.2672714
724988,1.609221239,287875.3369,3.746580183,1.609221239,4,178891.060874
