stream_comid,q_cfs,q_cms,mean_reach_depth
719072,2.028,0.057426564888576004,0.08410800356074082
719074,2.028,0.057426564888576004,0.08410800356074082
719076,1418.264,40.16076411495629,1.129902664610271
719078,3.654,0.103469757447168,0.10623024408227287
719080,58.309,1.6511270079329279,0.3186727377890737
719082,1412.309,39.99213729350093,1.128018714180394
719084,14.8,0.41908932956160005,0.18500351141777951
719086,1396.275,39.538104975244806,1.1229221765117348
719088,5.256,0.14883334568755202,0.12270608207580352
719090,1390.791,39.38281538853427,1.121170942234957
719092,1.136,0.032167937728512,0.06683704204419584
719094,1.069,0.030270709006848,0.06524492452433005
719096,1.475,0.0417673487232,0.07413052749051348
719098,1.664,0.047119232729088,0.07776131257536001
719100,1389.628,39.34988289594777,1.12079902013268
719102,46.872,1.327267233460224,0.292239195292485
719104,46.871,1.327238916613632,0.29223672254092997
719106,1344.772,38.07970242521702,1.1063084585681207
719108,7.837,0.221919126741504,0.1437718974412177
719110,1337.291,37.867864095862274,1.1038635061898994
719112,236.532,6.6978403580989445,0.5553143689114988
719114,236.532,6.6978403580989445,0.5553143689114988
719116,1105.138,31.294023208989696,1.0234653971518093
719118,1.195,0.03383863167744,0.06819276285782697
719120,2.731,0.077333308042752,0.09464536740459656
719122,1099.259,31.12754846787533,1.0213026225016786
719124,8.951,0.253464093844992,0.15155366200998616
719126,1104.053,31.26329943043738,1.0230667691641484
719128,0.513,0.014526542301696001,0.048762585205671
719130,1103.333,31.24291130089114,1.0228021113435288
719132,1091.088,30.896171514372096,1.0182850405591979
719134,1.743,0.049356263609856,0.07920502199598733
719136,1086.527,30.767018377065988,1.0165947126254915
719138,37.929,1.074029674387968,0.26870406063844765
719140,1050.785,29.75491764617472,1.0031978064549614
719142,1049.874,29.72912099892941,1.002852776000488
719144,1049.874,29.72912099892941,1.002852776000488
719146,1046.042,29.620610842788864,1.0013994698084085
719148,2.713,0.076823604804096,0.0943974718929336
719150,1044.887,29.587904884975103,1.0009608000809687
719152,1.896,0.053688741138432,0.08189263740159053
719154,2.736,0.07747489227571201,0.09471405220747182
719156,1.305,0.03695348480256,0.07061635618056841
719158,1037.635,29.38255111348992,0.9981997768191214
719160,1037.455,29.37745408110336,0.9981310983190006
719162,1022.42,28.95171029259264,0.9923689561581566
719164,0,0,0
719166,0,0,0
719168,1022.56,28.95567465111552,0.9924228459664511
719170,1037.454,29.377425764256767,0.9981307167516954
719172,1022.561,28.955702967962115,0.9924232308776394
719174,0.094,0.002661783579648,0.024876924145733472
719176,2.478,0.07016914585497601,0.09106568350101263
719178,0,0,0
719180,7.082,0.200539907564544,0.1381102826320368
719182,0.041,0.001160990710272,0.01790128689167278
719184,1037.349,29.374452495364608,0.9980906509495565
719186,0.618,0.017499811193856,0.05250010891804402
719188,1025.244,29.031677067368445,0.9934551309351354
719190,1024.694,29.016102801742846,0.9932437300872474
719192,1022.622,28.957430295604222,0.9924467100306268
719194,1037.162,29.369157245051905,0.9980192896035859
719196,2.308,0.065355281934336,0.08853469494930488
719198,3.761,0.106499660032512,0.10745323061425495
719200,12.274,0.347560975070208,0.17176950731037163
719202,1015.135,28.74542206516992,0.9895585941898084
719204,24.28,0.6875330352537601,0.22513540743990107
719206,4.971,0.140763044408832,0.12002280483210974
719208,986.601,27.937429164513794,0.9784321496102296
719210,2.372,0.067167560116224,0.08950033463924187
719212,2.744,0.07770142704844801,0.0948237905336504
719214,0,0,0
719216,978.439,27.70630706262989,0.9752138543681425
719218,118.784,3.3635883055841282,0.42257439320572443
719220,0.625,0.01769802912,0.05273515053511978
719222,117.968,3.340481758765056,0.42142069934178017
719224,978.306,27.702540922033155,0.9751612782800189
719226,20.856,0.5905761525227521,0.21196355607613776
719228,4.827,0.13668541849958402,0.11863165574316464
719230,957.56,27.11507962263552,0.9669067882061523
719232,957.023,27.099873476015617,0.9666916987584852
719234,957.023,27.099873476015617,0.9666916987584852
719236,3.092,0.087555689662464,0.09942215103666047
719238,953.072,26.987993615130623,0.9651069254565084
719240,113.087,3.2022672305495044,0.41441707902550956
719242,1.391,0.039388733609472,0.07242653609683938
719244,1.421,0.040238239007232,0.07304205552890893
719246,951.117,26.932634180043262,0.9643212952474479
719248,104.152,2.9492562062499843,0.4011078401550868
719250,0.148,0.004190893295616,0.02978379071457021
719252,7.341,0.207873970831872,0.1400917940651391
719254,13.736,0.38896020478771204,0.17960960720304175
719256,5.939,0.168173751909888,0.12879792903757947
719258,29.444,0.833761231054848,0.243029117385964
719260,949.667,26.891574752484864,0.9637379731946798
719262,25.907,0.733604544658944,0.23100182287785942
719264,924.851,26.188863887457792,0.9536702597596922
719266,2.388,0.067620629661696,0.08973928138657858
719268,18.495,0.5237200777190401,0.20210074977211126
719270,303.307,8.588697789279745,0.6128705435237175
719272,0.991,0.028061994972672002,0.0633135968544656
719274,21.913,0.620507059370496,0.21616059366341828
719276,22.952,0.6499282629795841,0.2201687108248625
719278,89.854,2.544381933677568,0.378291962538135
719280,65.05,1.8420108708096,0.33280363006272923
719282,627.578,17.771029950514176,0.817728603496463
719284,8.316,0.23548289625907204,0.1471947289634996
719286,617.433,17.483755541838335,0.8124602175354321
719288,2.254,0.063826172218368,0.08770729086519005
719290,56.095,1.58843350957824,0.3138177425723471
719292,16,0.453069545472,0.19081308815880568
719294,40.312,1.141508719816704,0.2752766893520054
719296,614.916,17.412482038966274,0.8111450436787621
719298,34.443,0.975317147168256,0.25862375948819333
719300,578.334,16.37659515693773,0.7916518983647529
719302,0.64,0.01812278181888,0.05323351614682292
719304,37.587,1.064345312853504,0.26774052627564887
719306,4.045,0.11454164446464,0.11060074760163885
719308,33.51,0.9488975292979199,0.2558222729462194
719310,1.753,0.049639432075776,0.07938493309652554
719312,27.168,0.769312088211456,0.23539728338489246
719314,6.448,0.18258702682521602,0.133067544102679
719316,577.77,16.36062445545984,0.7913456208084477
719318,0.68,0.019255455682560003,0.054528959403765204
719320,0.801,0.022681794120192,0.058188187696939314
719322,24.303,0.688184322725376,0.22521996483432793
719324,3.974,0.112531148356608,0.10982670282142484
719326,16.457,0.466010344364544,0.19295625013373222
719328,5.86,0.16593672102912002,0.1281157046803771
